1.0000000 0.0046000
0.9750000 0.0079000
0.9500000 0.0110000
0.9000000 0.0173000
0.8500000 0.0236000
0.8000000 0.0298000
0.7500000 0.0358000
0.7000000 0.0418000
0.6500000 0.0477000
0.6000000 0.0535000
0.5500000 0.0590000
0.5000000 0.0642000
0.4500000 0.0688000
0.4000000 0.0728000
0.3500000 0.0759000
0.3000000 0.0779000
0.2500000 0.0786000
0.2000000 0.0774000
0.1500000 0.0734000
0.1000000 0.0652000
0.0750000 0.0586000
0.0500000 0.0492000
0.0250000 0.0350000
0.0125000 0.0242000
0.0075000 0.0182000
0.0050000 0.0148000
0.0025000 0.0097000
0.0010000 0.0056000

0.0010000 -0.0054000
0.0025000 -0.0084000
0.0050000 -0.0123000
0.0075000 -0.0150000
0.0125000 -0.0195000
0.0250000 -0.0273000
0.0500000 -0.0366000
0.0750000 -0.0420000
0.1000000 -0.0453000
0.1500000 -0.0482000
0.2000000 -0.0484000
0.2500000 -0.0470000
0.3000000 -0.0447000
0.3500000 -0.0416000
0.4000000 -0.0382000
0.4500000 -0.0346000
0.5000000 -0.0310000
0.5500000 -0.0274000
0.6000000 -0.0241000
0.6500000 -0.0209000
0.7000000 -0.0181000
0.7500000 -0.0156000
0.8000000 -0.0133000
0.8500000 -0.0111000
0.9000000 -0.0090000
0.9500000 -0.0069000
0.9750000 -0.0058000
1.0000000 -0.0046000
