0.028462998	33.464	0.028462998	0.001	1
0.039848197	33.464	0.011385199	0.001	1
0.056356736	30.069	0.016508539	0.001	2
0.120872865	20.071	0.064516129	0.002	2
0.20626186	12.760	0.085388994	0.004	2
0.262239089	9.949	0.05597723	0.005	2
0.316318786	8.033	0.054079696	0.006	2
0.375142315	6.507	0.058823529	0.007	2
0.428652751	5.452	0.053510436	0.008	2
0.484440228	4.583	0.055787476	0.009	2
0.540227704	3.884	0.055787476	0.010	2
0.596204934	3.310	0.05597723	0.011	2
0.65199241	2.831	0.055787476	0.012	2
0.707779886	2.425	0.055787476	0.013	2
0.763567362	2.077	0.055787476	0.014	2
0.819544592	1.775	0.05597723	0.016	2
0.875332068	1.510	0.055787476	0.017	2
0.931309298	1.277	0.05597723	0.018	2
0.987286528	1.070	0.05597723	0.019	2
1.043263757	0.884	0.05597723	0.020	2
1.099240987	0.717	0.05597723	0.021	2
1.15540797	0.566	0.056166983	0.022	2
1.211385199	0.429	0.05597723	0.023	2
1.263946869	0.311	0.05256167	0.024	2
1.307590133	0.220	0.043643264	0.025	2
1.34459203	0.148	0.037001898	0.026	2
1.377419355	0.087	0.032827324	0.026	2
1.401518027	0.044	0.024098672	0.027	2
1.413851992	0.023	0.012333966	0.027	2
1.419544592	0.013	0.0056926	0.027	2
1.427324478	0.000	0.007779886	0.027	2
1.432068311	0.000	0.004743833	0.005	2
